family,record_id,native_before,native_after,native_change,qualification_before,qualification_after,scientific_action
evalplus,HumanEval/10,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/11,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/12,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/13,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/14,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/15,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""INCONCLUSIVE""}","{""base"": ""CONFORMS"", ""plus"": ""INCONCLUSIVE""}",USE_INDEPENDENT_NATIVE_RESULTS_ONLY
evalplus,HumanEval/16,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/17,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/18,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/19,"{""base"": ""fail"", ""plus"": ""fail""}","{""base"": ""fail"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/20,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/21,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/22,"{""base"": ""pass"", ""plus"": ""fail""}","{""base"": ""pass"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/23,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/24,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""INCONCLUSIVE""}","{""base"": ""CONFORMS"", ""plus"": ""INCONCLUSIVE""}",USE_INDEPENDENT_NATIVE_RESULTS_ONLY
evalplus,HumanEval/25,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/26,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/27,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/28,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/29,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/30,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/31,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/32,"{""base"": ""fail"", ""plus"": ""fail""}","{""base"": ""pass"", ""plus"": ""fail""}",True,"{""base"": ""VIOLATION"", ""plus"": ""VIOLATION""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",RETAIN_NATIVE_RESULTS_AND_COMMITMENT_CONTRADICTION
evalplus,HumanEval/33,"{""base"": ""fail"", ""plus"": ""fail""}","{""base"": ""fail"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/34,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/35,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/36,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/37,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/38,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/39,"{""base"": ""pass"", ""plus"": ""fail""}","{""base"": ""pass"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/40,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/41,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/42,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/43,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/44,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/45,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/46,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/47,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/48,"{""base"": ""pass"", ""plus"": ""fail""}","{""base"": ""pass"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/49,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/50,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/51,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/52,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/53,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/54,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/55,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/56,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/57,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/58,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/59,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/60,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/61,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/62,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/63,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/64,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/65,"{""base"": ""fail"", ""plus"": ""fail""}","{""base"": ""fail"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/66,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/67,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/68,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/69,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/70,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/71,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/72,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/73,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/74,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/75,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/76,"{""base"": ""pass"", ""plus"": ""fail""}","{""base"": ""pass"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/77,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/78,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/79,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/80,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/81,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/82,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/83,"{""base"": ""fail"", ""plus"": ""fail""}","{""base"": ""fail"", ""plus"": ""fail""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/84,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/85,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/86,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/87,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/88,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/89,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
